City,Postal Code
Ada,24430
Lunovo Selo,31203
Adaševci,22244
Lužane,18228
Adorjan,24425
Lužnice,34325
Adrani,36203
Mala Moštanica,11261
Aleksinacki Rudnik,18226
Mačkat,31312
Aleksa Šantić,25212
Mačvanska Mitrovica,22202
Aleksandrovac,37230
Mačvanski Pričinović,15211
Aleksandrovac,12370
Maglić,21473
Aleksandrovo,23217
Majdan,23333
Aleksinac,18220
Majdanpek,19250
Alibunar,26310
Majilovac,12221
Aljinovici,31307
Majur,35270
Apatin,25260
Majur,15353
Aradac,23207
Mala Bosna,24217
Aranđelovac,34303
Mala Krsna,11313
Aranđelovac,34300
Mala Plana,18423
Arilje,31230
Malča,18207
Asanja,22418
Male Pčelice,34216
Azanja,11423
Male Pijace,24416
Babin Kal,18315
Mali Beograd,24309
Babušnica,18330
Mali Idjoš,24321
Bač,21420
Mali Izvor,19347
Bačevci,31258
Mali Jasenovac,19209
Bačina,37265
Mali Požarevac,11235
Bacinci,22225
Mali Zvornik,15318
Bačka Palanka,21400
Malo Crniće,12311
Bačka Topola,24300
Malo Krcmare,34212
Bački Breg,25275
Malošište,18415
Bački Brestovac,25242
Manđelos,22208
Bački Gračac,25252
Manojlovce,16201
Bački Jarak,21234
Maradik,22327
Bački Monoštor,25272
Margita,26364
Bački Petrovac,21470
Markovac,11325
Bački Sokolac,24343
Markovica,32243
Bački Vinogradi,24415
Maršić,34209
Bačko Dobro Polje,21465
Martinci,22222
Bačko Gradište,21217
Martonoš,24417
Bačko Novo Selo,21429
Mataruška Banja,36201
Bačko Petrovo Selo,21226
Međa,23234
Badnjevac,34226
Medoševac,18209
Badovinci,15358
Međurečje,32255
Bagrdan,35204
Medveđa,35224
Bajina Bašta,31250
Medveđa,37244
Bajmok,24210
Medveđa,16240
Bajša,24331
Melenci,23270
Balajinac,18257
Meljak,11426
Baljevac Na Ibru,36344
Melnica,12305
Banatska Palanka,26324
Merćez,18436
Banatsko Aranđelovo,23332
Merdare,18445
Banatski Brestovac,26234
Merošina,18252
Banatski Despotovac,23242
Metlić,15233
Banatsko Karađorđevo,23216
Metovnica,19204
Banatsko Novo Selo,26314
Mihajlovac,11312
Banatska Subotica,26327
Mihajlovac,19322
Banatsko Višnjićevo,23237
Mihajlovo,23202
Banatska Dubica,23251
Mijatovac,35236
Banatska Topola,23315
Milentija,37227
Banatski Dvor,23213
Mileševo,21227
Banatski Karlovac,26320
Miletićevo,26373
Banatsko Veliko Selo,23312
Miloševac,11318
Baničina,11424
Miloševo,35268
Banja,34304
Milutovac,37246
Banja Kod Priboja,31337
Minićevo,19340
Banja Koviljača,15316
Mionica,14242
Banjani,14214
Mirosaljci,11567
Banjska,38216
Miroševce,16204
Banoštor,21312
Mišićevo,24211
Banovci Dunav,22303
Mitrovac,31251
Banovo Polje,15362
Mladenovac,11400
Barajevo,11460
Mladenovo,21422
Baranda,26205
Mojsinje,32211
Barbatovac,18426
Mokra Gora,31243
Bare,34205
Mokranja,19317
Barič,11504
Mokrin,23305
Barice,26367
Mol,24435
Barlovo,18432
Molovin,22256
Baroševac,11565
Morović,22245
Bašaid,23316
Mošorin,21245
Batočina,34227
Mozgovo,18229
Batrovci,22251
Mramor,18251
Bavanište,26222
Mramorak,26226
Bečej,21220
Mrčajevci,32210
Bečmen,11279
Muhovac,17529
Begaljica,11308
Muzlja,23206
Begeč,21411
Nadalj,21216
Begejci,23232
Nakovo,23311
Bela Crkva,26340
Natalinci,34313
Bela Crkva,15313
Negotin,19300
Bela Palanka,18310
Neresnica,12242
Bela Voda,37253
Neštin,21314
Bela Zemlja,31311
Neuzina,23245
Belanovica,14246
Nikinci,22422
Bele Vode,32259
Nikolićevo,19311
Belegiš,22306
Nikolinci,26322
Beli Potok,11223
Niš,18000
Beli Potok,19366
Niška Banja,18205
Beljina,11461
Niševac,18366
Belo Blato,23205
Njegoševo,24311
Beloljin,18424
Noćaj,22203
Belosavci,34312
Nova Crnja,23218
Belotinac,18411
Nova Crvenka,25224
Belušić,35263
Nova Gajdobra,21431
Beočin,21300
Nova Pazova,22330
Beograd,11000
Nova Varoš,31320
Beograd Zvezdara,11050
Novi Banovci,22304
Novi Beograd,11070
Novi Bečej,23272
Beograd Palilula,11060
Novi Itebej,23236
Beograd Voždovac,11010
Novi Karlovci,22322
Beograd Savski Venac,11000
Novi Kneževac,23330
Beograd Stari Grad,11000
Novi Kozarci,23313
Beograd Vračar,11000
Novi Kozjak,26353
Beograd Rakovica,11090
Novi Pazar,36300
Beograd Čukarica,11030
Novi Sad,21000
Beograd Zemun,11080
Novi Slankamen,22323
Berkasovo,22242
Novi Žednik,24223
Beršići,32305
Novo Lanište,35271
Bešenovo,22212
Novo Miloševo,23273
Beška,22324
Novo Orahovo,24351
Bezdan,25270
Novo Selo,36216
Bigrenica,35238
Novo Selo,18250
Bikić Do,22254
Obrenovac,11500
Bikovo,24206
Obrez,37266
Biljača,17522
Obrez,22417
Bingula,22253
Obrovac,21423
Bioska,31241
Odžaci,25250
Bistar,17546
Ogar,22416
Bistrica,31325
Omoljica,26230
Blace,18420
Oparić,35267
Blaževo,37226
Opovo,26204
Bobovo,35217
Orane,16233
Bočar,23274
Oraovica,17557
Bođani,21427
Orašac,34308
Bogaraš,24408
Orešković,24344
Bogatić,15350
Orid,15213
Bogojevo,25245
Orlovat,23263
Bogovađa,14225
Orom,24207
Bogovina,19372
Osanica,12317
Bogutovac,36341
Osečina,14253
Bojnik,16205
Osipaonica,11314
Boka,23252
Osnić,19378
Boleč,11307
Osreci,37281
Boljevac,19370
Ostojićevo,23326
Boljevci,11275
Ostrovica,18312
Boljkovci,32312
Ostružnica,11251
Bor,19210
Ovča,11212
Borča,11211
Ovčar Banja,32242
Borski Brestovac,19229
Pačir,24342
Borsko Bučje,19231
Padinska Skela,11213
Bosilegrad,17540
Padej,23325
Bošnjace,16232
Padež,37257
Bošnjane,37262
Padina,26215
Bosut,22217
Palić,24413
Botoš,23243
Palilula,18363
Božetići,31322
Pambukovica,14213
Boževac,12313
Pančevo,26000
Božica,17537
Panonija,24330
Braćevac,19315
Paraćin,35250
Bradarac,12206
Parage,21434
Braničevo,12222
Parunovac,37201
Brankovina,14201
Pasjane,38266
Bratinac,12225
Pavliš,26333
Bratljevo,32256
Pecanjevce,16251
Brđani,32303
Pećinci,22410
Brekovo,31234
Pećka,14207
Bresnica,32213
Pejkovac,18413
Brestač,22415
Pepeljevac,37231
Brestovačka Banja,19216
Perlez,23260
Brestovac,16253
Perućac,31256
Brežane,12205
Petlovača,15304
Brežđe,14244
Petrovac Na Mlavi,12300
Brezjak,15309
Petrovaradin,21131
Brezna,32307
Petrovcic,11282
Brezova,32253
Pinosava,11226
Brezovica,38157
Pirot,18300
Brgule,14212
Pivnice,21469
Brnjica,12230
Plana,35247
Brodarevo,31305
Plandište,26360
Brus,37220
Planinica,19207
Brusnik,19313
Platičevo,22420
Brvenik,36346
Plavna,21428
Brza Palanka,19323
Plažane,35212
Brzan,34228
Ples,37238
Brzeće,37225
Ploča,37237
Bučje,19369
Pločica,26229
Buđanovci,22421
Pobeda,24313
Budisava,21242
Počekovina,37243
Bujanovac,17520
Poćuta,14206
Bujanovac,17567
Podunavci,36215
Bukovac,21209
Podvis,19362
Bukovica,32251
Podvrška,19321
Bukovik,34301
Poganovo,18326
Bukurovac,34217
Pojate,37214
Bumbarevo Brdo,34242
Poljana,12372
Bunar,35273
Popinci,22428
Burdimo,18368
Popovac,35254
Burovac,12307
Popovac,18260
Busilovac,35249
Popučke,14221
Čačak,32000
Porodin,12375
Čajetina,31310
Potočac,35207
Čalma,22231
Požarevac,12000
Čantavir,24220
Požega,31210
Čečina,18417
Prahovo,19330
Čelarevo,21413
Pranjani,32308
Čenej,21233
Predejane,16222
Ćenta,23266
Prekonoga,18365
Čerević,21311
Preljina,32212
Cerovac,15224
Preševo,17523
Čestereg,23215
Prevešt,35264
Ćićevac,37210
Prhovo,22442
Čitluk,37208
Priboj,31330
Čitluk,18232
Priboj Vranjski,17511
Čoka,23320
Pricevic,14251
Čonoplja,25210
Prigrevica,25263
Čortanovci,22326
Prijepolje,31300
Crepaja,26213
Prilički Kiseljak,32252
Crkvine,36321
Prilužje,38213
Crna Bara,23328
Privina Glava,22257
Crna Bara,15355
Prnjavor Mačvanski,15306
Crna Trava,16215
Progar,11280
Crnoklište,18304
Prokuplje,18400
Crvena Crkva,26323
Prolom,18433
Crvena Reka,18313
Provo,15215
Crvenka,25220
Pružatovac,11413
Čukojevac,36220
Pukovac,18255
Čumić,34322
Putinci,22404
Ćuprija,35230
Rabrovo,12254
Čurug,21238
Rača,18440
Đala,23335
Rača Kragujevačka,34210
Darosava,34305
Radalj,15321
Dasnica,37271
Radenković,22206
Debeljača,26214
Radičević,21225
Deč,22441
Radinac,11311
Deliblato,26225
Radljevo,14211
Delimeđe,36307
Radojevo,23221
Deronje,25254
Radujevac,19334
Desimirovac,34321
Rajac,19314
Despotovac,35213
Rajković,14202
Despotovo,21468
Rakinac,11327
Devojački Bunar,26316
Rakovac,21299
Dezeva,36305
Ralja,11233
Dimitrovgrad,18320
Ranilovic,34302
Divci,14222
Ranilug,38267
Divčibare,14204
Ranovac,12304
Divljaka,31236
Rašanac,12315
Divoš,22232
Raševica,35206
Divostin,34204
Raška,36350
Dobanovci,11272
Rastina,25283
Dobra,12224
Rataje,37236
Dobri Do,18408
Ratari,11411
Dobrić,15235
Ratina,36212
Dobrica,26354
Ratkovo,25253
Dobrinci,22412
Ravna Dubrava,18246
Dolac,18314
Ravna Reka,35235
Doljevac,18410
Ravni,31206
Dolovo,26227
Ravni Topolovac,23212
Donja Bela Reka,19213
Ravnje,22205
Donja Borina,15317
Ravno Selo,21471
Donja Kamenica,19352
Ražana,31265
Donja Livadica,11326
Ražanj,37215
Donja Ljubata,17544
Razbojna,37223
Donja Mutnica,35255
Razgojna,16252
Donja Orovica,15323
Rekovac,35260
Donja Rečica,18404
Reljan,17556
Donja Satornja,34314
Resavica,35237
Donja Trnava,18421
Resnik,34225
Donje Vidovo,35258
Rgotina,19214
Donje Crnatovo,18414
Ribare,35220
Donje Crniljevo,15227
Ribare,37259
Donje Međurovo,18254
Ribari,15310
Donje Tlamino,17547
Ribarice,36309
Donje Zuniće,19345
Ribarska Banja,37205
Donji Dušnik,18242
Ridjica,25280
Donji Krčin,37258
Ripanj,11232
Donji Milanovac,19220
Ristovac,17521
Donji Stajevac,17526
Ritiševo,26331
Doroslovo,25243
Roćevci,36205
Dračić,14203
Rogača,11453
Draginac,15311
Rogačica,31255
Draginje,15226
Roge,31237
Draglica,31317
Rogljevo,19318
Dragobraća,34231
Rožanstvo,31208
Dragocvet,35272
Rudna Glava,19257
Dragoševac,35262
Rudnica,36353
Dragovo,35265
Rudnik,32313
Drajkovce,38239
Rudno,36222
Draževac,11506
Rudovci,11566
Draževac(kod Aleksinca),18223
Ruma,22400
Drenovac,35257
Rumenka,21201
Drenovac,15212
Ruplje,16223
Drlače,15324
Rušanj,11194
Drugovac,11432
Ruski Krstur,25233
Dublje,15359
Rusko Selo,23314
Duboka,12255
Rutevac,18224
Dubovac,26224
Šabac,15000
Dubovo,18406
Sajan,23324
Dubravica,12207
Šajkaš,21244
Dudovica,11561
Sakule,26206
Duga Poljana,36312
Salaš,19224
Dugo Polje,18237
Salaš Noćajski,22204
Đunis,37202
Samaila,36202
Dupljaja,26328
Samoš,26350
Đurdjevo,34215
Sanad,23331
Đurdjevo,21239
Saraorci,11315
Đurđin,24213
Šarbanovac,18235
Dušanovac,19335
Šarbanovac,19373
Dvorane,37206
Šarbanovac Timok,19379
Džep,17514
Šašinci,22425
Džigolj,18405
Sastav Reka,16213
Ečka,23203
Sastavci,31335
Elemir,23208
Savinac,19377
Erdec,34207
Savino Selo,21467
Erdevik,22230
Seča Reka,31262
Farkaždin,23264
Sečanj,23240
Feketić,24323
Sedlare,35211
Futog,21410
Sefkerin,26203
Gornji Milanovac,32300
Selenča,21425
Gadžin Han,18240
Seleuš,26351
Gaj,26223
Selevac,11407
Gajdobra,21432
Senje,35233
Gakovo,25282
Senjski Rudnik,35234
Gamzigradska Banja,19228
Senta,24400
Gardinovci,21247
Šepšin,11433
Gibarac,22258
Šetonje,12309
Glavinci,35261
Sevojno,31205
Globoder,37251
Sibač,22440
Glogonj,26202
Sibnica,11454
Glogovac,35222
Sićevo,18311
Gložan,21412
Šid,22240
Glušci,15356
Sijarinska Banja,16246
Golobok,11316
Sikirica,35256
Golubac,12223
Sikole,19225
Golubinci,22308
Silbaš,21433
Goračići,32232
Šilopaj,32311
Goričani,32225
Šimanovci,22310
Gornja Dobrinja,31214
Simićevo,12373
Gornja Draguša,18425
Siokovac,35203
Gornja Lisina,17538
Sip,19326
Gornja Sabanta,34206
Sirča,36208
Gornja Toplica,14243
Sirig,21214
Gornja Toponica,18202
Sirogojno,31207
Gornja Trepča,32215
Sivac,25223
